headline,url
Data contradicts Trump: Migrant detentions and deportations not limited to criminals,https://english.elpais.com/international/2025-02-24/data-contradicts-trump-migrant-detentions-and-deportations-are-not-limited-to-criminals.html
Conservative leader only needs Social Democrats to form coalition in Germany,https://english.elpais.com/international/2025-02-24/conservative-leader-merz-only-needs-social-democrats-to-form-coalition-in-germany.html
"Los Pulpos, the gang that spread terror in Peru and Chile",https://english.elpais.com/international/2025-02-24/los-pulpos-the-gang-of-four-brothers-who-spread-terror-in-peru-and-chile.html
Musk’s ultimatum to government workers creates more chaos,https://english.elpais.com/usa/2025-02-24/musks-ultimatum-for-government-workers-to-justify-their-jobs-creates-chaos-in-the-administration.html
,https://english.elpais.com
Panama Canal expansion facilitates transit of invasive fish,https://english.elpais.com/science-tech/2025-02-24/not-just-ships-the-expansion-of-the-panama-canal-also-facilitates-the-transit-of-invasive-fish.html
Voices from the pain of war in Ukraine: ‘I saw my father pull my mother out of the rubble’,https://english.elpais.com/international/2025-02-24/voices-from-the-pain-of-war-in-ukraine-i-saw-my-father-pull-my-mother-out-of-the-rubble.html
Milei’s ‘iron triangle’ creaks from the $LIBRA cryptocurrency scandal,https://english.elpais.com/international/2025-02-24/mileis-iron-triangle-creaks-from-the-libra-cryptocurrency-scandal.html
Alejandro Puyana: ‘We are already seeing the catastrophe that the Trump administration represents for Venezuelans’,https://english.elpais.com/usa/2025-02-23/alejandro-puyana-we-are-already-seeing-the-catastrophe-that-the-trump-administration-represents-for-venezuelans.html
The hypocrisy of American democracy and the urgent need for a social network of public interest,https://english.elpais.com/international/women-leaders-of-latin-america/2025-02-21/the-hypocrisy-of-american-democracy-and-the-urgent-need-for-a-social-network-of-public-interest.html
House arrest for selling books on the Palestinian-Israeli conflict,https://english.elpais.com/international/2025-02-23/five-days-under-house-arrest-for-selling-books-on-the-palestinian-israeli-conflict.html
"Rafael López, oncologist: ‘With a blood test we will be able to identify the weaknesses of almost all tumors’",https://english.elpais.com
